30,28
Slope,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Wood,Plain,Wood,Wood,Wood,Wood,Wood,Wood,Slope,Slope,Slope,Slope,Slope,Slope,Wood,Wood,Wood,Wood,Wood,Wood
Plain,Castle,Castle,Castle,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Wood,Plain,Wood,Plain,Wood,Wood,Wood,Slope,Slope,Slope,Plain,Wood,Wood,Wood,Wood,Wood,Wood,Plain,Wood
Plain,Castle,Castle,Castle,Plain,Plain,Plain,Plain,Plain,Slope,Slope,Slope,Slope,Slope,Slope,Slope,Slope,Stair,Slope,Plain,Wall,Wood,Plain,Wood,Plain,Plain,Plain,Plain,Wood,Wood
Plain,Plain,Gate,Plain,Plain,Plain,Plain,Plain,Plain,Slope,Slope,Slope,Slope,Slope,Slope,Slope,Slope,Stair,Slope,Plain,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Wood
Slope,Plain,Plain,Plain,Plain,Plain,Plain,Slope,Slope,Slope,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Wood
Slope,Slope,Stair,Slope,Slope,Slope,Slope,Slope,Plain,Plain,Plain,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Wood,Wall,Wall,Plain,Plain,Plain,Plain,Wood
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Wall,Floor,Floor,Floor,Wall,Plain,Stair,Plain,Plain,Wood,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Door,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Floor,Column,Floor,Floor,Floor,Column,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Wall,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Wall,Floor,Wall,Wall,Wall,Wall,Wall,Door,Wall,Wall,TreasureBox,TreasureBox,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Wood,House,Plain,House,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Column,Column,Floor,Wall,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Wood,WeaponsShop,Plain,ItemsShop,Wood,Plain,Plain,Plain,Wall,Wall,Wall,Floor,Column,Column,Wall,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Wall,Wall,Wall,Plain,Plain,Plain,Plain
Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Wall,Floor,Floor,Wall,Wall,Floor,Wall,Wall,Wall,Floor,Floor,Floor,Floor,Wall,Wall,Plain,Plain,Plain,Plain
Plain,Plain,Plain,WeaponsShop,Plain,Plain,Plain,Plain,Wood,Wood,Wall,Wall,Floor,Floor,Floor,Wall,Wall,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Floor,Column,Floor,Floor,Floor,Floor,Wall,Floor,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Floor,Floor,Floor,Floor,Wall,Wall,Wall,Floor,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Sea,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Column,Floor,Wall,Wall,Wall,Stair,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Sea,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Stair,Plain,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Sea,Sea,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Wall,Wall,Wall,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain
Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain
Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Wood
Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Wood
