30,20
Plain,Stockade,Plain,Plain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Plain,Stockade,Plain,Mountain,Mountain,Mountain,River,River,River,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
Plain,Plain,Mountain,Wood,Mountain,Mountain,Mountain,Mountain,Plain,Wood,Wood,Plain,Mountain,Plain,Plain,Mountain,Mountain,House,River,River,Plain,Village,Plain,Mountain,Mountain,Mountain,Wood,Plain,Mountain,Mountain
Mountain,Mountain,Wood,Plain,Plain,Mountain,Mountain,Plain,Plain,Plain,Wood,Mountain,Plain,Plain,Mountain,Mountain,Plain,Plain,River,River,Plain,VillageEntrance,Plain,Mountain,Mountain,Mountain,House,Wood,Wood,Mountain
Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Plain,Mountain,Mountain,WeaponsShop,Plain,Plain,River,River,Plain,Plain,Plain,Plain,Mountain,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,River,River,Plain,Wood,Plain,Wood,Plain,Mountain,Plain,Mountain,Mountain,Plain,Plain,Plain,Bridge,Bridge,Plain,Plain,Plain,Plain,Mountain,Plain,Plain,Plain,Plain,Mountain
Plain,Plain,Plain,Plain,River,River,Castle,Castle,Castle,Castle,Plain,Plain,Plain,Mountain,Plain,Plain,Plain,River,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Wood
Plain,Plain,Plain,Plain,Plain,Plain,Castle,Castle,Castle,Castle,Plain,Wood,Mountain,Plain,Plain,Plain,River,River,River,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Wood,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Gate,Gate,Plain,Plain,Mountain,Mountain,Plain,Plain,River,River,River,Plain,Plain,Plain,Plain,Wood,Plain,Wood,Plain,Plain,Plain,Wood,Wood
Plain,Plain,Plain,Stockade,Plain,Plain,Plain,Plain,Plain,Mountain,Plain,Mountain,Plain,Plain,Plain,Bridge,Bridge,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Plain,Wood,Plain,Plain,Wood
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,House,Plain,Wood
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Wood,River,River,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Mountain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Mountain,Wood,Plain,Wood,Plain,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Mountain,Mountain,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Mountain,Mountain,Plain,Wood,Mountain,River,River,River,River,River,Bridge,River,River,River,Bridge,River,River,River,Bridge,River
Mountain,Mountain,Mountain,Plain,Wood,Mountain,Plain,Mountain,Mountain,Mountain,Mountain,Plain,Wood,Mountain,Mountain,River,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Mountain,Mountain,Mountain,Stockade,Mountain,Mountain,Mountain,Mountain,Mountain,Wood,Plain,Plain,Mountain,Mountain,Mountain,River,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Mountain,Mountain,Plain,Mountain,Mountain,Plain,Plain,Wood,Plain,Wood,Plain,Mountain,Mountain,River,River,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Wood,Wood,Mountain,Plain,Plain,Plain,Plain,Wood,Plain,Plain,Mountain,Mountain,River,Plain,Wood,Plain,Plain,Plain,Wood,Stockade,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Wood,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,River,Plain,Plain,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Wood,Wood,Plain,Wood,Plain,Stockade,Plain,Plain,Plain,Plain,Plain,Plain,River,Plain,Plain,Plain,Plain,Plain,Wood,Wood,Wood,Wood,Wood,Plain,Plain,Plain,Plain,Plain
